S. No.,Organization Name,Website,LinkedIn,Headquarters Location
1,Garuda Aerospace,https://www.garudaaerospace.com,https://www.linkedin.com/company/garuda-aerospace-private-limited,"Chennai, Tamil Nadu, India"
2,Agnikul,https://www.agnikul.in/#/,https://www.linkedin.com/company/agnikul-cosmos,"Chennai, Tamil Nadu, India"
3,Disprz,https://disprz.ai/,https://in.linkedin.com/company/disprz,"Chennai, Tamil Nadu, India"
4,Mylapay,https://mylapay.com/,https://www.linkedin.com/company/mylapay/,"Chennai, Tamil Nadu, India"
5,CaratLane,https://www.caratlane.com/,https://www.linkedin.com/company/caratlane-trading-pvt--ltd,"Chennai, Tamil Nadu, India"
6,Pando,https://pando.ai,https://www.linkedin.com/company/pandocorp,"Chennai, Tamil Nadu, India"
7,Medway Hospitals,https://medwayhospitals.com,https://www.linkedin.com/company/medway-hospitals/,"Chennai, Tamil Nadu, India"
8,Wiz Freight,https://wizfreight.com,https://www.linkedin.com/company/wizfreight,"Chennai, Tamil Nadu, India"
9,Northern Arc,https://www.northernarc.com/,https://www.linkedin.com/company/northern-arc-capital,"Chennai, Tamil Nadu, India"
10,Equitas Small Finance Bank,https://www.equitasbank.com,https://www.linkedin.com/company/equitas-small-finance-bank,"Chennai, Tamil Nadu, India"
11,Kaar Technologies,https://www.kaartech.com/,https://www.linkedin.com/company/kaar-technologies-pvt-ltd-,"Chennai, Tamil Nadu, India"
12,GrowXCD Finance,https://growxcd.com/,https://www.linkedin.com/company/growxcd-finance/,"Chennai, Tamil Nadu, India"
13,Sweet Karam Coffee,https://www.sweetkaramcoffee.in/,https://www.linkedin.com/company/sweetkaramcoffee,"Chennai, Tamil Nadu, India"
14,TVS Credit Services,https://www.tvscredit.com,https://www.linkedin.com/company/tvs-credit-services-ltd-/,"Chennai, Tamil Nadu, India"
15,GalaxEye,https://galaxeye.space,https://www.linkedin.com/company/galaxeye/,"Chennai, Tamil Nadu, India"
16,CIPACA,https://www.cipaca.com/,https://www.linkedin.com/company/cipaca/,"Chennai, Tamil Nadu, India"
17,AuditCue,https://www.auditcue.com,https://www.linkedin.com/company/auditcue,"Chennai, Tamil Nadu, India"
18,MRF,https://www.mrftyres.com/,https://www.linkedin.com/company/mrf/,"Chennai, Tamil Nadu, India"
19,Mindgrove,https://www.mindgrovetech.in/,https://www.linkedin.com/company/mindgrovetech/,"Chennai, Tamil Nadu, India"
20,Incore Semiconductors,https://incoresemi.com,https://www.linkedin.com/company/incoresemi,"Chennai, Tamil Nadu, India"
21,Oro,https://orocorp.in,https://linkedin.com/company/orocorp,"Chennai, Tamil Nadu, India"
22,Raptee Energy,https://rapteehv.com/,https://www.linkedin.com/company/rapteeenergy/,"Chennai, Tamil Nadu, India"
23,Updater Services,https://www.uds.in/,https://www.linkedin.com/company/uds-facility-services-pvt.ltd,"Chennai, Tamil Nadu, India"
24,Basilic Fly Studio,https://www.basilicflystudio.com,https://www.linkedin.com/company/basilic-fly-studio/,"Chennai, Tamil Nadu, India"
25,Dr. Agarwal's,https://www.dragarwal.com/,https://www.linkedin.com/company/dr-agarwals-eye-hospital/,"Chennai, Tamil Nadu, India"
26,Finsire,https://finsire.com/,https://www.linkedin.com/company/finsire/,"Chennai, Tamil Nadu, India"
27,Dvara KGFS,https://www.dvarakgfs.com,https://www.linkedin.com/company/dvarakgfs/,"Chennai, Tamil Nadu, India"
28,XYMA Analytics Pvt Ltd,https://xyma.in,https://www.linkedin.com/company/xyma-analytics/,"Chennai, Tamil Nadu, India"
29,Exoticamp,https://www.exoticamp.com/,https://www.linkedin.com/company/exoticamp/,"Chennai, Tamil Nadu, India"
30,Aham Housing Finance,http://www.ahamhfc.com,https://www.linkedin.com/company/ahamhfc,"Chennai, Tamil Nadu, India"
31,PickMyAd,https://pickmyad.com/,https://www.linkedin.com/company/pickmyad,"Chennai, Tamil Nadu, India"
32,Hectar Global,https://www.hectar.in/,https://www.linkedin.com/company/hectar-global/,"Chennai, Tamil Nadu, India"
33,Varashakti Housing Finance,https://varashaktihousing.co.in/,https://www.linkedin.com/company/varashakti-housing-finance-private-limited/,"Chennai, Tamil Nadu, India"
34,ThinkMetal,https://thinkmetal.in/,https://www.linkedin.com/company/thinkmetal/,"Chennai, Tamil Nadu, India"
35,NDR Warehousing,https://www.ndrwarehousing.com,https://www.linkedin.com/company/ndr-warehousing-pvt-ltd,"Chennai, Tamil Nadu, India"
36,Yubi,https://www.go-yubi.com,https://www.linkedin.com/company/go-yubi,"Chennai, Tamil Nadu, India"