S. No.,Company Name,LinkedIn Profile,Website,Industry Sector,Address
1,two44 software solutions,https://www.linkedin.com/company/two44-software-solutions/,https://www.two44software.com/,Software Development,"Hyderabad, India"
2,eKincare,https://in.linkedin.com/company/ekincare,https://www.ekincare.com/,Health Tech,"Hyderabad, India"
3,SignalX AI,https://www.linkedin.com/company/signalx-ai/,https://signalx.ai/,AI Due Diligence,"Hyderabad, India"
4,QiTech.in,https://www.linkedin.com/company/qitechnologies/,https://qitech.in/,Software Development,"Hyderabad, India"
5,Trice Community,https://www.linkedin.com/company/trice-community-technologies/,https://www.tricecommunity.com/,Community App,"Hyderabad, India"
6,PORTL TECHNOLOGIES,https://www.linkedin.com/company/portl-technologies-inc/,https://portl.co/,Health & Fitness Tech,"Hyderabad, India"
7,actlogica solutions private limited,https://www.linkedin.com/company/actlogica/,http://www.actlogica.com/,Software,"Hyderabad, India"
8,Adiabatic Technologies Private Limited,https://www.linkedin.com/company/adiabatic-technologies-pvt-ltd/,http://www.adiabatic.co.in/,Energy Storage,"Hyderabad, India"
9,Hesa Enterprises Pvt Ltd,https://www.linkedin.com/company/hesa-technologies-pvt-ltd/,http://www.hesa.co/,Rural Commerce,"Hyderabad, India"
10,Banyan Nation,https://www.linkedin.com/company/banyan-nation/,http://www.banyannation.com/,Recycling,"Hyderabad, India"
11,FINDERNEST SOFTWARE SERVICES PVT LTD,https://www.linkedin.com/company/findernest/,https://www.findernest.com/,Recruitment Software,"Hyderabad, India"
12,Onelement Energy Private Limited,NA,https://onelement.in/,Clean Energy,"Hyderabad, India"
13,docNmeds,https://www.linkedin.com/company/docnmeds/,http://www.docnmeds.com/,Healthcare Ecosystem,"Hyderabad, India"
14,COMETLABS,https://www.linkedin.com/company/cometlabs/,https://cometlabs.in/,Developer Tools,"Hyderabad, India"
15,clap-serv,https://www.linkedin.com/company/clap-serv/,http://www.clap-serv.com/,Service Platform,"Hyderabad, India"
16,Harvested Robotics,https://www.linkedin.com/company/harvested-robotics/,http://www.harvestedlabs.com/,Agri-Tech,"Hyderabad, India"
17,Janaspandana Software Solutions,https://www.linkedin.com/company/janaspandana-software-solutions/,https://janaspandana.in/,Product Consulting,"Hyderabad, India"
18,Banka BioLoo Limited,https://www.linkedin.com/company/banka-bio/,http://www.bankabio.com/,Sanitation Solutions,"Hyderabad, India"
19,Algohire Technologies Private Limited,https://www.linkedin.com/company/algohire/,https://algohire.ai/,AI Recruitment,"Hyderabad, India"
20,ChargeKart Private Limited,https://www.linkedin.com/company/chargekart-private-limited/,http://www.chargekart.co.in/,Autonomous Charging,"Hyderabad, India"
21,BirthTech Innovations Pvt. Ltd,https://www.linkedin.com/company/thebirthtech/,https://thebirthtech.com/,Medtech,"Hyderabad, India"
22,Aerobiosys Innovations Private Limited,https://www.linkedin.com/company/aerobiosys/,https://www.aerobiosys.com/,Medtech,"Hyderabad, India"
23,DreamVu,https://www.linkedin.com/company/dreamvu/,http://dreamvu.com/,Imaging Optics,"Hyderabad, India"
24,AppVirality Inc,https://www.linkedin.com/company/app-virality/,http://appvirality.com/,Mobile Growth Toolkit,"Hyderabad, India"
25,ecoverve technologies,https://www.linkedin.com/company/hyprelectric-in/,https://hyprelectric.in/,Electric,"Hyderabad, India"
26,Acorn Globus,https://www.linkedin.com/company/acornglobus/,https://www.acornglobus.com/,Software Development,"Hyderabad, India"
27,Varun Digital Media,https://www.linkedin.com/company/varun-digital-media/,https://www.varundigitalmedia.com/,Digital Marketing,"Hyderabad, India"
28,ATAI labs private limited,https://www.linkedin.com/company/ataiinc/,https://www.atai.ai/,AI Solutions,"Hyderabad, India"
29,Only Electriq Solutions Pvt Ltd,https://www.linkedin.com/company/only-electriq-solutions-private-limited,https://electriq.co.in/,EV Mobility Solutions,"Hyderabad, India"
30,9M Fertility,NA,https://www.9mfertility.com/,Fertility Services,"Hyderabad, India"
31,ToggleNow Software Solutions Pvt Ltd.,https://www.linkedin.com/company/togglenow/,https://www.togglenow.com/solutions/verity,SAP Services,"Hyderabad, India"
32,Good Health Company,NA,https://ghc.health/,Healthcare,"Hyderabad, India"